epoch_time,id,date_time,keyword,page
142397773233,4fd1f06b8eb7c8105d746307,1996-05-10T00:00:00Z,"budget deficit",27
142397773236,4fd28e748eb7c8105d864cb0,2003-02-05T00:00:00Z,"budget deficit",27
142397773238,4fd1536e8eb7c8105d635f9c,1984-08-07T00:00:00Z,"budget deficit",27
142397773240,4fc0bda845c1498b0d443367,1932-02-19T00:00:00Z,"budget deficit",27
142397774303,4fd22c5b8eb7c8105d7b8760,2003-08-09T00:00:00Z,"budget deficit",28
142397774304,4fd14e478eb7c8105d62de15,1985-08-31T00:00:00Z,"budget deficit",28
142397774305,515b8689fdc59278db00be0d,2011-11-28T00:00:00Z,"budget deficit",28
142397774305,4fc0a54745c1498b0d3d075f,1928-12-12T00:00:00Z,"budget deficit",28
142397774307,4fd117d88eb7c8105d5cf71b,1981-12-24T00:00:00Z,"budget deficit",28
142397774307,515b8766fdc59278db00bf0f,2011-11-27T00:00:00Z,"budget deficit",28
142397774308,515b91a0fdc59278db00cb7c,2011-10-19T00:00:00Z,"budget deficit",28
142397774309,4fd3a0658eb7c8105d8e58d9,2011-07-29T06:32:32Z,"budget deficit",28
142397774310,4fc07c1745c1498b0d312eb3,1922-11-25T00:00:00Z,"budget deficit",28
142397774311,4fd2a4bb8eb7c8105d88ba3f,2009-10-08T00:00:00Z,"budget deficit",28
142397775374,4fd2571a8eb7c8105d8012e2,2005-02-08T00:00:00Z,"budget deficit",29
142397775375,54c18f8179881004ea410147,2015-01-22T19:00:31Z,"budget deficit",29
142397775376,4fd181248eb7c8105d67d2e2,1987-10-04T00:00:00Z,"budget deficit",29
142397775377,4fd182c48eb7c8105d67fb88,1987-09-23T00:00:00Z,"budget deficit",29
142397775378,545412927988106136a8b099,2009-07-17T00:00:00Z,"budget deficit",29
142397775379,548ea6d979881018ac4ba913,2007-02-06T00:00:00Z,"budget deficit",29
142397775379,515a81defdc59278db004df6,2011-11-22T00:00:00Z,"budget deficit",29
142397775380,4fd1267a8eb7c8105d5ed8ba,1982-11-19T00:00:00Z,"budget deficit",29
142397775381,5420aa4c7988104c4a501685,2010-11-16T00:00:00Z,"budget deficit",29
142397775382,531629a47988105d192fb725,2014-03-04T14:26:18Z,"budget deficit",29
142397776446,4fd23e518eb7c8105d7d486e,2004-09-08T00:00:00Z,"budget deficit",30
142397776447,518fb3b2fdc592464a00249e,2013-05-13T20:55:00Z,"budget deficit",30
